account_email,employment_company_name,name,start_date,end_date,currently_working,description,roles_and_responsibilities,technologies_used
dibyendu.rakshit@gmail.com,Oracle India Pvt. Ltd.,Dibyendu Rakshit,06/08/2010,10/06/2011,FALSE,"
1. Involved in application customization Development for entire life i.e. designs development Unit Testing Bug fixing.
2. Major and minor bug fixing for existing products.
3. Peer code review for newly built customized code.
4. Writing API methods as well as in java and back end API
5. Unit testing bug fixing and enhancement.""                                                        ","Application Engineer

1. Involved in application customization Development for entire life i.e. designs development Unit Testing Bug fixing.
2. Major and minor bug fixing for existing products.
3. Peer code review for newly built customized code.
4. Writing API methods as well as in java and back end API
5. Unit testing bug fixing and enhancement.""                                                        ",Core Java Oracle Application frame Work Oracle JDeveloper 10g Oracle 10g (SQL/plsql) Unix
Pradip.wandhekar@gmail.com,Persistent Systems Ltd,Pradip Wandhekar		,01/08/2014,08/04/2023,TRUE,SAE offers the capability of virtualizing your network edge and extending it to colocation centers. SAE provides segmentation virtualization automation and orchestration for your enterprise within a carrier-neutral facility.,"Team Lead                                                                                                                                            • API Automation using selenium and Python
• Handling team of 5
• Review of work deliverable
• Responsible for Offshore development and Automation
• Delegating tasks on the project to employees best positioned to complete them
• Making effective decisions when presented with multiple options for how to progress with the project
• Serving as a point of contact for teams when multiple units are assigned", Selenium Web Driver Python PyATS
Pradip.wandhekar@gmail.com,Persistent Systems Ltd,Pradip Wandhekar		,01/09/2014,08/04/2023,TRUE,Point AR device at end IoT Device (e.g. Robot) Show relevant Device Network Security Cybervision network protocol data and metadata Edge Intelligence machine telemetry.,"• API Automation using selenium and Python
• Handling team of 4
• Review of work deliverable
• Responsible for Offshore development and Automation
• Delegating tasks on the project to employees best positioned to complete them
• Making effective decisions when presented with multiple options for how to progress with the project
• Serving as a point of contact for teams when multiple units are assigned.",Unity Python
Pradip.wandhekar@gmail.com,Persistent Systems Ltd,Pradip Wandhekar		,01/10/2014,08/04/2023,TRUE,"Meraki Retail Analytics the business analytics solution which is built using data received from sources; Cisco Meraki MV-12 Artificial intelligence enabled camera and the POS terminal. This application provides Number of visitors buyers people who go through the checkout process Alert on Smart lighting and temperature control utilizing people detection Live and historical analytics of the visitor patterns.
Prediction of visitor patterns Queue wait times depending on the predicted visitors.
History of customer abandonment and Alarm on weapon detection.","• Explored and used ML library like TensorFlow Yolo 4 for machine learning to build and deploy ML powered applications.
• API Automation testing (REST) using Python request library.
• Manual Testing (Test case execution towards Functional web (GUI) regression browser compatibility and database testing)
• Brainstorming about the use case development in CISCO Devnet.
• Estimation and tracking use case tasks.
• Client Demos.",Linux NodeJS Angular and Python Postman PostgreSQL.
Pradip.wandhekar@gmail.com,Persistent Systems Ltd,Pradip Wandhekar		,01/11/2014,08/04/2023,TRUE,Empirix IntelliSight is a software solution specifically designed to quickly provide holistic business intelligence for telecom service providers operating in both fixed and mobile domains. The IntelliSight Data mediation Component (ISDM) is a core component of the platform and is powered by a data mediation and intelligence engine designed to scale and adapt to the growth and ongoing changes in an operator’s environment without needing customized development. Key Features: Data Correlation and Intelligence Key Performance Indicators (KPIs) and Alarming Data Export and Integration with Northbound Applications Flexible Service Modeling to Ease Drilldowns Single Subscriber Dashboard analytics Near Real Time Dashboards that present near real-time KPI status and alarms as frequently as every minute.,"• UI Automation testing using Selenium Python using Unitest framework.
• Executing Smoke Test Regression Testing Participated in analysis and design walkthroughs as well as project meetings.
• Test case creation and Planning.
• Writing automation scripts using Selenium Web driver in Python unittest framework using page object model. Tomcat.
• Following Agile methiodal Sprint Planning User story grooming Scrum Meeting Retrospective meeting.
• Database testing.
• Set-up test environments Hadoop cloud era developed test strategy test plan test cases test suits scenarios test data & requirement traceability matrix.
• Coordinated with business users to understand various required data sources.
• Managed defect lifecycle including defect creation defect tracking and root cause analysis of defects.
• Drove the quality processes through all phases of the Software Development Life Cycle using Agile methodology.",Linux-SLES Java Python Hadoop Caldera Jira Jenkins Python unitest MySQL.
Pradip.wandhekar@gmail.com,IGATE,Pradip Wandhekar		,01/01/2014,01/08/2014,FALSE,Mine automation program is emerging with various autonomous systems like Drill Automation Smart Charging Trucks Ship/ Train Loaders etc. to be controlled remotely. This operational model demands for live video and real time digital parametric displays as support systems in the remote-control room for their health status and control. All these systems would be part of the mine network involving Wireless LAN and WAN. Emergency Safety Shutdown System is developed and will be commissioned at the mine site. It provides functionality of manual safety Emergency shutdown and auto fail-safe shutdown by providing diagnostic of failures of different components and network.,"• Creating maintaining and executing test cases for Functional Testing.
• Lab environment Setup.
• Bug Tracking and reporting using Jira.
• Preparing testing artifacts like Test Plan Validation Plan as per Functional safety standard IEC61508.
• Review of the Documents like Functional Safety Plan Functional Life cycle process SRS document etc.",PLC Program C++ and Linux.
Pradip.wandhekar@gmail.com,TalentBeat Ltd,Pradip Wandhekar		,01/02/2006,01/03/2008,FALSE,SmartLMS is product devolved to meet requirements of logistics management system in global market. It automates all process involved in logistics management such as purchase order ship order shipment tariff quotations bill of lading etc.,"• Creating maintaining executing and updating test cases.
• Manual Testing (Test case execution towards Functional web (GUI) regression browser compatibility and database testing)
• Bug Tracking and reporting using Quality Center 9.2 and 11.0.
• Participating in client meetings for understanding and analyzing the requirements Testing Functional testing Multiple OS testing Multiple browser testing.
• Raising and verifying fixed defects with every build and track the same to closure.",Java Oracle Tomcat
Pradip.wandhekar@gmail.com,TalentBeat Ltd,Pradip Wandhekar		,01/03/2006,01/04/2008,FALSE,Empower is web-based application developed for SYMMEDRx organization working in health care domain. SYMMEDRx has developed an eleven step self-contracting model that empowers the materials managers of the hospitals to effectively negotiate with the suppliers to purchase physician preferred products.,"• Creating maintaining executing and updating test cases.
• Manual Testing (Test case execution towards Functional web (GUI) regression browser compatibility and database testing)
• Bug Tracking and reporting using Quality Center 9.2 and 11.0.
• Participating in client meetings for understanding and analyzing the requirements Testing Functional testing Multiple OS testing Multiple browser testing.
• Raising and verifying fixed defects with every build and track the same to closure.",.Net MSSQL
Sawantpravin128@gmail.com,Dzaro Solutions,Pravin Sawant,01/10/2019,08/04/2023,TRUE,VATConnect Integrations automatically captures data and images from expense management systems payment/ERP systems corporate cards hotel groups and travel management companies (TMC’s) to quickly get a view of your total spend and your VAT reclaim opportunity. VATConnect Intelligence reviews and validates all data via our industry leading AI machine learning algorithms and automatically applies the relevant VAT rules and regulations for each country.,"Lead DotNet Developer                                                                                                             • Architecture Design.
• Code development & Enhancements Bug fixing Deployment Documentation.
• Working as Individual Contributor to design develop and deploy microservices as per requirement.
• Responsible for helping the onshore team in authoring the Business rules and developments of the rules in system.
• Executing test scenarios and fixing bugs.",HTML ASP.NET ASP.NET Core Web Service Web API Angular C C# Javascript SQL
Sawantpravin128@gmail.com,Morgan Stanley Capital International,Pravin Sawant,01/01/2019,01/08/2019,FALSE,"
CE Baseline help tool developed for Deloitte professionals for practice before giving actual CE assessment exam. It tool used by more than 5000 professionals on daily basis.","• Code development & Enhancements.
• Bug fixing
• Deployment
• Documentation ", C# WPF Desktop WCF Multithreading SVN
Sawantpravin128@gmail.com,Deloitte Consulting,Pravin Sawant,01/01/2017,01/01/2019,FALSE,Kentucky Health Benefit Exchange is developed as a Deloitte go-to market solution to help implement an Integrated Eligibility Solution covering all the welfare programs administered by the state. The portal will act as a one-stop-shop for everyone applying for benefits in the state. It will also enable the state to administer the programs in an effective way.,"• Code development & Enhancements Bug fixing Deployment Documentation.
• Involved in development of complex and critical WCF application working as a team member.
• Responsible for helping the onshore team in authoring the Business rules and developments of the rules in Corticon.
• Creating SQL batches for project.
• Writing stored procedures in SQL.
• Executing test scenarios and fixing bugs.",C# .Net Core Dapper MS-SQL Server 2012 WCF Entity Framework Progress Corticon TFS.
Sawantpravin128@gmail.com,National Stock Exchange,Pravin Sawant,01/02/2015,01/01/2017,FALSE,NCDEX (National Commodity and Derivative Exchange) is an online commodity exchange based in India. NCFE is clearing front end of NCDEX. It handles real time trade information. NCFE simplifies and helps the member to easily carry out their complete clearing and settlement activity online.,"• Code development & Enhancements.
• Bug fixing
• Deployment
• Documentation ",ASP.NET MVC 4.5 with C# JQuery JavaScript Web Service Oracle 11g 12c.
Sawantpravin128@gmail.com,National Stock Exchange,Pravin Sawant,01/03/2015,01/02/2017,FALSE,"NCDEX disseminates its real time market data to information agencies. The N-Tick Provides information agencies with NCDEX real time market data in TCP/IP packet SOAP format. The information agencies connect to the N-Tick through 64 Kbps Leased Lines. These leased lines are terminated on N-Tick and their data specific calls are forwarded to N-Tick through firewall. The N-Tick listens on a Port Continuously for agency connections and accepts these calls and creates a socket. The TCP/IP data flows to the information agencies through these sockets.
Data can also available on web service using SOAP format.","• Code development & Enhancements.
• Bug fixing
• Deployment
• Documentation                                                         ",C# Client-Server Architecture Desktop  Socket Programming WCF MS SQL.
Sawantpravin128@gmail.com,Dzaro Solutions,Pravin Sawant,01/01/2014,01/02/2015,FALSE,This application provides every trader with the power to automatically track important market movements and analyze the market in real-time and offers advanced charting and comprehensive technical analysis tools. Application works on live data Process by different server which in turn receives data from lease line provided by National Stock Exchange. This application is real time where you can see each up and down of stocks.,"• Involved in development of complex and critical desktop application working as a team member.
• Major role in development of basic architecture of front end.
• Understanding and processing Real time data coming from Different Exchanges [NSE BSE etc.].
• Design and development of various forms in the solution of the project.
• Worked on Charts and Drawing part.
• Executing test scenarios and fixing bugs.
• Worked on Performance and Memory related issues.", C# Real Time Data Desktop WinForms Windows Data structures Multithreading.
Prithvichavan83@gmail.com,Dzaro Solutions,Prithviraj Chavan,01/01/2020,08/04/2023,TRUE,,"Lead Devops Engineer                                                                                                                                • Currently working as Lead for DevOps team.
• Working on CI/CD automation devops toolkit management Azure GCP and AWS related infrastructure management and automation on cloud native technologies as requested by business.
• This involves working with various project teams helping them in their development efforts with automation of CI/CD pipeline Creating and implementing Environment Scaling and collaborating towards continuous deployments/testing to various stages of development to Production.
• We have a strict goal to achieve Infrastructure as Code. I have personally contributed a lot in source control for our various projects that include scripting various auto deployment config management using terraform / CloudFormation /Helm charts Ansible and PowerShell DSE Jenkins's file-based Pipeline.
• Work on .NET web app API and services deployment to server or containers using Octopus and harness in various environments. My current role also has a lot of Operations related tasks.
• Creating monitoring and performance measurement for deployed LOB systems.
• Work with various monitoring tools such as New Relic APM Datadog Site24x7 Kibana Splunk PagerDuty so operations team can be alerted for any issue before having customer impact.
• Working with compliance team to remediate vulnerability maintaining automation around patch management and reporting for PCI system. ",Asp.Net Azure AWS GCP Jenkins Docker Kubernetes Linux
Prithvichavan83@gmail.com,AIS,Prithviraj Chavan,01/03/2016,01/12/2019,FALSE,,"• Working on infrastructure automation like F5 load balancer configuration automation SAN Provisioning automation Software deployment automation.
• ESXi Hyper-V Host OS and VM build automation using various tools like SCORCH SCVMM SCCM MDT PowerShell vSphere Auto Deploy and implementing similar automation on Azure platform.
• Developing Server lockdown and achieving desired state using automation with help of PowerShell Desired State Configuration and Puppet.
• Creation and implementation of highly available services using automatic scaling model and application sets in SCVMM and Azure. This includes web deployment Database server provisioning automation using PowerShell.
• Working with Microsoft consultant as primary contact for client’s System Center 2016 and Server 2016 Technology Adoption Program and Rapid Deployment Program.
• Have developed framework for year 2016- 2017 to implement these technologies. Completed working on automation scripts to action this framework.
• Worked on project to get Windows Server Nano 2016 as Hyper-V 2012 R2 host replacement to reduce security footprint.",
Prithvichavan83@gmail.com,Systems Plus Solutions,Prithviraj Chavan,01/07/2012,01/04/2015,FALSE,Working with Achilles client on site providing datacenter support. Primary responsibility includes maintaining 240 physical server 8 SAN devices Cisco SonicWALL and Palo Alto network devices. Working as primary for project on infrastructure designing and on-site implementation. Creating support structure and processes for offshore team handling escalations. Providing on call and on-site assistance along with final line support on technology like Active directory Exchange SQL Servers vSphere and various in-house hosted applications. ,"• Implementing SCCM 2012 globally with 1800 desktop and 480 servers as clients. Created Windows 7 Windows 2008R2 and Windows Server 2012 COE ZTI images various software packages for deployment.
• Created 2 private cloud on Hyper-V 2012 SCVMM 2012 and ESXi 5.5 vCenter including setting up EMC SAN and networking. Migrated old virtual server ESX 3 4 and P2V and created monitoring in SCOM 2012 Nagios integrated with ticketing tool.
• Design and implemented client’s main application infrastructure on COLO in London and Singapore on vSphere F5 Load balancer LTM and Akamai CDN along with monitoring and automated performance notification system.
• Designed and implemented the central call monitoring and recording solution of 28 corporate branches by using Tim Enterprise Software.
• Implemented SharePoint 2013 farm and migrated sites from older versions. Migrated global file shares to SharePoint. Implementing advance workflows. InfoPath form for HR and internal departments.
• Worked on a global network project involving redesigning networks MPLS and procuring new devices to replace unsupported devices at all branch offices.",
Prithvichavan83@gmail.com,IBM,Prithviraj Chavan,01/01/2010,01/08/2010,FALSE,,"• Working as NOC engineer supporting backbone network for leading ISP.
• Maintaining core routers troubleshooting routing issues firmware maintenance monitoring and escalating to on site team for cable or device repair. Logging calls with vendor for vendor provided circuits.
• Capacity planning for network and presenting utilization reports using CA spectrum and IBM internal products like Tivoli network manager.",
Prithvichavan83@gmail.com,MIBS,Prithviraj Chavan,01/05/2008,01/08/2009,FALSE,,"• Responsible for Installation Managing and maintaining Server and Desktop.
• Daily Backup of Servers and SQL Database on tapes. SQL Performance Tuning. Maintaining and troubleshooting Computer Hardware Printers and Scanners. Managing Firewall and Campus Wi-Fi.
• Student and Staff user ID creation. Managing Share and access permission.
• Intranet Email and Portal administration.
• Maintaining Library management software and barcode equipment.
• Symantec Endpoint Protection. ",
vinjamvamsi1992@gmail.com,Deltacubes Technologies,Vinjam Vamshikrishna		,01/09/2021,08/04/2023,TRUE,,,.Net core Jenkins Docker Kubernetes Linux
vinjamvamsi1992@gmail.com,Wipro,Vinjam Vamshikrishna		,01/02/2021,01/09/2021,FALSE,,"Security Devops Engineer                                                                                                                •Working on infrastructure automation like F5 load balancer configuration automation SAN Provisioning automation Software deployment automation.
• ESXi Hyper-V Host OS and VM build automation using various tools like SCORCH SCVMM SCCM MDT PowerShell vSphere Auto Deploy and implementing similar automation on Azure platform.
• Developing Server lockdown and achieving desired state using automation with help of PowerShell Desired State Configuration and Puppet.
• Creation and implementation of highly available services using automatic scaling model and application sets in SCVMM and Azure. This includes web deployment Database server provisioning automation using PowerShell.
• Working with Microsoft consultant as primary contact for client’s System Center 2016 and Server 2016 Technology Adoption Program and Rapid Deployment Program.
• Have developed framework for year 2016- 2017 to implement these technologies. Completed working on automation scripts to action this framework.
• Worked on project to get Windows Server Nano 2016 as Hyper-V 2012 R2 host replacement to reduce security footprint.",
vinjamvamsi1992@gmail.com,Wipro,Vinjam Vamshikrishna,01/04/2015,01/12/2015,FALSE,,"• Responsible for the design build configuration and implementation of new or existing technologies in specialist areas of: Storage/SAN Windows Hyper-V & HA Clustering Active Directory Systems Centre and/or Backup/Restore/Replication technology.
• This will be underpinned by a strong understanding and use of Virtual Network technologies alongside a principal understanding of Network Fabric VPN SSL WAN Load Balancing and Firewalls.
• Responsible for scoping and delivering SOW for bespoke functionality at an infrastructure level (this includes anything that is not covered with the standard service description).
• Upon acceptance by the business that we wish to deliver such functionality the team will be responsible for delivery and documenting the bespoke nature of the solution for IT Operations and escalated support.",
vinjamvamsi1992@gmail.com,Deltacubes Technologies,Vinjam Vamshikrishna		,01/07/2012,01/04/2015,FALSE,Working with Achilles client on site providing datacenter support. Primary responsibility includes maintaining 240 physical server 8 SAN devices Cisco SonicWALL and Palo Alto network devices. Working as primary for project on infrastructure designing and on-site implementation. Creating support structure and processes for offshore team handling escalations. Providing on call and on-site assistance along with final line support on technology like Active directory Exchange SQL Servers vSphere and various in-house hosted applications. ,"• Implementing SCCM 2012 globally with 1800 desktop and 480 servers as clients. Created Windows 7 Windows 2008R2 and Windows Server 2012 COE ZTI images various software packages for deployment.
• Created 2 private cloud on Hyper-V 2012 SCVMM 2012 and ESXi 5.5 vCenter including setting up EMC SAN and networking. Migrated old virtual server ESX 3 4 and P2V and created monitoring in SCOM 2012 Nagios integrated with ticketing tool.
• Design and implemented client’s main application infrastructure on COLO in London and Singapore on vSphere F5 Load balancer LTM and Akamai CDN along with monitoring and automated performance notification system.
• Designed and implemented the central call monitoring and recording solution of 28 corporate branches by using Tim Enterprise Software.
• Implemented SharePoint 2013 farm and migrated sites from older versions. Migrated global file shares to SharePoint. Implementing advance workflows. InfoPath form for HR and internal departments.
• Worked on a global network project involving redesigning networks MPLS and procuring new devices to replace unsupported devices at all branch offices.",
vinjamvamsi1992@gmail.com,Deltacubes Technologies,Vinjam Vamshikrishna		,01/09/2010,01/03/2012,FALSE,,"• Supporting Windows Server Cluster VMware vSphere Active Directory EMC Legato and CommVault Backup Symantec Endpoint Protection SCOM 2007 SCCM 2007.
• Working with SAP Basis SQL DBA GIS Raymark POS-Terminal SharePoint Web and other teams on Installation Production Readiness Installation of application and Setting up High Availability Solutions Provisioning Request fulfillment Access Management System Maintenance and Troubleshooting Performance Patching Decommission processes.",
vinjamvamsi1992@gmail.com,Deltacubes Technologies,Vinjam Vamshikrishna		,01/01/2010,01/08/2010,FALSE,,"• Working as NOC engineer supporting backbone network for leading ISP.
• Maintaining core routers troubleshooting routing issues firmware maintenance monitoring and escalating to on site team for cable or device repair. Logging calls with vendor for vendor provided circuits.
• Capacity planning for network and presenting utilization reports using CA spectrum and IBM internal products like Tivoli network manager.",
vinjamvamsi1992@gmail.com,Wipro,Vinjam Vamshikrishna		,01/05/2008,01/08/2009,FALSE,,"• Responsible for Installation Managing and maintaining Server and Desktop.
• Daily Backup of Servers and SQL Database on tapes. SQL Performance Tuning. Maintaining and troubleshooting Computer Hardware Printers and Scanners. Managing Firewall and Campus Wi-Fi.
• Student and Staff user ID creation. Managing Share and access permission.
• Intranet Email and Portal administration.
• Maintaining Library management software and barcode equipment.
• Symantec Endpoint Protection. ",
vsantosh.v488@gmail.com,Dzaro Solutions,Vunikili Santosh Kumar                ,01/06/2021,08/04/2023,TRUE,"• Worked as Lead for Network and DevOps team on CI/CD automation devops toolkit management GCP and AWS related infrastructure management and automation on cloud native technologies as requested by business.
• This involves working with various project teams helping them in their development efforts with automation of CI/CD pipeline Creating and implementing Environment Scaling and collaborating towards continuous deployments/testing to various stages of development to Production. At NCR the goal is to archive Infrastructure as Code.
• Contributed a lot in source control for our various project that include scripting various auto deployment config management using terraform / CloudFormation Ansible Kubernetes Github Jenkins file-based pipeline and services deployment to server or containers using Octopus and harness in various environment.
• Created monitoring and performance measurement using various monitoring tools such as Datadog Site24x7 ELK Splunk PagerDuty so operations team can be alerted for any issue before having customer impact.",Lead Devops Engineer,PythonGithub GitlabCI AWS GCP Octopus Deploy Helm Charts Teamcity Artifactory Nagios OpenNMS New Relic APM Datadog Kibana Splunk Site24*7.
kaleemullah.7777@gmail.com,JMK Infosoft Solution Ltd,Mirza Kaleemullah Biag		,01/06/2021,08/04/2023,TRUE,"
""• This Project is designed and develop in ASP.NET(MVC) C#.NET. Database used in this project is SQL SERVER 2016 .
• The main purpose of this project to maintain document on server or cloud if document requires approval then we have approval and
reviewers on the same document. If approver approves the document its comes to effect.
• Worked on issue document reconcile archive destroy document and controlled print.
• Issue document person need print of document number of pages page from page to. If issue documment has approval on it then it goes for approval. Then approver approves it then person can take print of document.
• Issue document has association like ar number batch number etc.
• While print document overlays print on it like issue copy and association.
• Archival document is when person need document to archive for particular date from date to date.
• Finally destroy the document if the user cannot destroy the issue document and Print it.""                                                        ",Senior Software Engineer,"ASP.NET (Web forms MVC)HTML XML CSS Javascript Ajax.
"
kaleemullah.7777@gmail.com,Misbah Soft Solution,Mirza Kaleemullah Biag		,04/04/2018,03/03/2021,FALSE,"• Designed and developed in ASP.NET (MVC) C#.NET and Database used is firebase (Realtime database).
• The main purpose of this project gets event information from all booths of Aurangabad district.
• Event like officer arrive on booth Polling start Count of male female other etc. Officer enter data into event step by step.
• Report generation collector and divisional commissioner check each event report district wise and taluka wise.
• The main thing in this project I have used firebase(Realtime database) because of number of hits on website event is on same
time for all booths all officer at same time hits on website.
• Used firebase (Realtime database) inserted Json data using http post got information using Json and displayed reports on admin dashboard using C#.
• Generated APK for android app used webview and shared our website link with officers to help them download apk from google
play store.
",Software Engineer,
selvakqa@gmail.com,Dzaro Solutions,Selvakumar Srinivasan		,01/10/2021,08/04/2023,TRUE,"• Developing new Test Automation framework using Selenium and  C#.
• Fixing the failing tests developed in the Protractor framework and sharing the status with the leads.
• Creating documentation and architecture for the new automation framework and getting it reviewed by the QA Architect.
• Providing technical solutions to issues faced by the sub teams.
• Contributing to the continuous improvement of the QA process.
• Helping and mentoring fellow Test Engineers within the Automation domain.",Lead SDET,Selenium UFT TOSCA WinAppDriver RestSharp RestAssured CA
selvakqa@gmail.com,Sureify,Selvakumar Srinivasan		,08/08/2020,09/09/2021,FALSE,"• Adding tests to existing Test Automation framework working alongside fellow Test Engineers to ensure that just the right tests are automated.
• Evaluating tools and processes to help maintain and improve the automation tests and frameworks to ensure time spent doing manual regression is kept to a minimum.
• Working closely with a team of developers to cover the testing needs of new features and enhancements.
• Creating documentation and reports for test results and defect trends; analyzing data and making recommendations to management.",Lead SDET Engineer,
ngautamsdet@gmail.com,Dzaro Solutions,Nitin Gautam,01/12/2021,08/04/2023,TRUE,● Team building training and handling internal project,Senior QA Engineer,Java SOAP BDD Framework Cucumber Maven Rest Assured Agile Methodologies
ngautamsdet@gmail.com,NTT Data,Nitin Gautam,07/07/2019,11/11/2021,FALSE,"TRS - Always on the leading edge of Automotive technology BMW is constantly introducing innovation that change the way it deliver services to end customer. One such innovation is TeleServices.
TeleService uses the sensor technology of onboard computers to notify the customer’s preferred BMW service center when their vehicle requires routine services. There are different types of transactions created in TeleServices with which any center will lead on a routine basis on the automatic service request and the manual service requests.",Senior Test Engineer ,SQL Java Selenium WebDriver BDD Cucumber
ngautamsdet@gmail.com,Centurylink Technologies,Nitin Gautam,10/10/2016,07/07/2019,FALSE,Salesforce (CPQ) - The quoting platform used to configure price and quote products and services for BSG and CTS groups. It ensures quick and smooth products on-boarding for business teams Provides a robust pre-qualification framework that arms the sales user with meaningful information to proceed with doing business with a given set of locations provides a strong suite of services for various CPQ processes and tools to uniformly access consistent data.,Software Engineer,SQL Java Selenium WebDriver BDD Cucumber
ngautamsdet@gmail.com,Nerdapplabs Private Limited,Nitin Gautam,04/04/2015,10/10/2016,FALSE,"Sugar is a web based business application which delivers the best all around value of any CRM. Designed with the individual in mind Sugar offers the most innovative and intuitive user experience on the market – SugarUX. With Sugar UX’s Modern and immersive interface every customer-facing employee can effectively engage with customers every time thanks to a consistence Sugar experience regardless of your access point or device. Embedded collaboration tools help break down departmental silos and increase engagement and service levels. And best of all Sugar provides contextual intelligence from internal and external data sources - all within a single dashboard to drive more actionable insights for every user.
With Sugar the innovative user experience is not limited to out of the box features. The power of SugarCRM Mobile enables user to create highly intuitive customer mobile experience-from anywhere.",Software Test Engineer ,SQL Java Selenium WebDriver
ngautamsdet@gmail.com,iAvatarZ Digital India as Quality Engineer,Nitin Gautam,09/09/2013,03/03/2015,FALSE,Vulcan Express Private Limited is a logistics firm that offers end-to- end logistics and supply chain solutions for retail companies with greater focus on highly dynamic and rapidly growing ecommerce industry in India. It offers a range of services including Pickup Consolidation and Fulfilment Operations Warehousing Solutions Intercity Movement and Last Mile Delivery services.,Quality Engineer,Environment: Xml SQL Testing
chirag.ali47@gmail.com,Calidad,Chirag Ali Palsania		,01/06/2021,08/04/2023,TRUE,"● Creating and maintaining test scripts using Selenium Web driver.
● Worked on BDD cucumber framework in Java.
● Integrated the result with QMetry Test management tool.
● Developing BDD scripts with Cucumber in Selenium WebDriver.
● Maintained the Selenium & JAVA automation code in Git Repository.
● Involved in all the scrum related functions.
● Managing the code on git repository.",Senior Automation Tester 					,Functional Automation Testing tools: Selenium Web driver Basic knowledge of AppiumJavaPython
chirag.ali47@gmail.com,S&P Global,Chirag Ali Palsania		,07/07/2019,06/06/2021,FALSE,"Creating and maintaining test scripts using Selenium Webdriver.
● Responsible for planning process evaluation design development and maintenance of test scripts using the framework and nhancements against newly added requirements.
● Designing scenarios on the basis of shift left approach with API using Python.
● Automating Rest Assured APIs using python.
● Creating the BVT cases of APIs using python framework.
● Involved in all the scrum related functions.
● Managing the code on git repository.
● Working on VSTS for project management.",SDET II ,
chirag.ali47@gmail.com,KiwiQA Services,Chirag Ali Palsania		,08/08/2018,06/06/2019,FALSE,"Handling the team of Size 3.
● Preparing the Automation Test Plan based on the requirement.
● Setting up an automation framework as per client requirements.
● Enhancing the framework for reusability.
● Configuring Maven and TestNG for Java automation projects.
● Performance testing using JMeter.
● Preparing the Test Automation script for the test case provided by the clients.
● Automating Web Application Testing using Selenium.
● Updating the status of the automation script in the confluence page.
● Executing Selenium Test Cases and reporting defects.
● Reporting the bug in Jira if encountered any.
● Configuring the Jenkins for scheduling the script and auto email update.
● Committing the code in the bitbucket git repository.
● Participating in the weekly status review meetings with stakeholders to discuss the upcoming work schedules and status.",Automation Tester,
chirag.ali47@gmail.com,Accelya Kale Solutions,Chirag Ali Palsania		,05/05/2015,08/08/2018,FALSE,"Working on airline domain for revenue accounting products used for revenue assessment by various airlines.
● Requirement Analysis by understanding the functionality through requirement specification and business flows provided by the Client.
● Worked in a highly dynamic AGILE environment and participated in scrum and sprint meetings
● Working on change requests made by clients using Agile methodology.
● Involvement in Preparation of Test Scenarios Test Cases and Test Data.
● Involvement in Test Execution Results Analysing and Defect Reporting.
● Performed Re-testing and Regression testing after issue/defect is resolved.
● Regression testing performed on every new build of the application.
● Automating Web Application Testing using Selenium WebDriver.
● Implemented automation using Selenium WebDriver JAVA
● Well versed with Handling Elements in Selenium WebDriver.
● Writing Test cases using Element locators WebDriver methods Java programming features.
● Executing Selenium Test Cases and reporting defects.
● Writing SQL queries for test data.",Senior Software Tester,
chirag.ali47@gmail.com,Calidad,Samay Thakkar,01/02/2021,08/04/2023,TRUE,"● Creating test stergies for organizations with a goal to increase the quality of processes and product.
● Creating test automation framework tailored as per application requirements.
● Creating automation suites on Java over Selenium using TestNg Cucumber and Junit.
● Creating automation suites on Python over Selenium using Pyest Pytest-bdd and Robot Framework.
● Creating automation suites on Javascript and Typescript over WebdriverIO Cypress and Protractor.",QA Consultant,Expertise in Selenium Webdriver automation using TestNG and Robot FrameworksPythonJava
panduranggpailvan@gmail.com,Dreamz Software Solutions Pvt Ltd,Pandurang Pailvan,01/12/2021,08/04/2023,TRUE,"● Manage creation
● Manage storage
● Manage retrieval
● Manage control security and distribution
● OCR capture""                ",Senior Software Engineer,C#.NET ASP.NET Core MVC 5.0 Web Service Web API
panduranggpailvan@gmail.com,"Wolters Kluwer Perpetuuiti Technosoft",Pandurang Pailvan,04/04/2019,11/11/2021,FALSE,"Integration of Incident management tool i.e.Gemini.
● Integration with Azure DevOps.
● Used Hangfire as Message queue service.
● Used Apache solr (search engine) for project for fast retrieval of data.
● Used Web Api to expose rest Api endpoints to other teams.
● Worked windows services.
● Used power shell for build deployment automation.
● Used content management system i.e Vasont. ",Software Developer,C#.NET MVC5 REST API
panduranggpailvan@gmail.com,Perpetuuiti Technosoft,Pandurang Pailvan,07/07/2014,3/3/2019,FALSE,"● Integration of Incident management tool i.e. BMC remedy Service Now Service Desk plus.
● Integration of AI (NLP and Machine Learning) with this product.
● Successful implementation of the project at Smart Dubai Government DUBAI (UAE).
● Used Web Api in the project.
● UI and windows services.
● Used power shell and SSH for automation. ",Software Developer, C#.NET ASP.NET MVC5
